ds,cpu_forecast_mean,cpu_lower,cpu_upper,cpu_forecast_min,cpu_forecast_max
2026-09-15 23:00:00,11.307443,2.7530308,18.305283,2.7530308,18.305283
2026-09-16 00:00:00,11.350901,2.72347,18.374403,2.72347,18.374403
2026-09-16 01:00:00,11.340024,2.6514828,18.42357,2.6514828,18.42357
2026-09-16 02:00:00,11.315412,2.6033912,18.435682,2.6033912,18.435682
2026-09-16 03:00:00,11.269524,2.534987,18.412659,2.534987,18.412659
2026-09-16 04:00:00,11.266139,2.5519285,18.417665,2.5519285,18.417665
2026-09-16 05:00:00,11.216576,2.534398,18.351059,2.534398,18.351059
2026-09-16 06:00:00,11.181675,2.509951,18.312653,2.509951,18.312653
2026-09-16 07:00:00,11.129688,2.4379153,18.312542,2.4379153,18.312542
2026-09-16 08:00:00,11.11388,2.4240022,18.310823,2.4240022,18.310823
2026-09-16 09:00:00,11.107464,2.423989,18.284039,2.423989,18.284039
2026-09-16 10:00:00,11.119421,2.4380076,18.33073,2.4380076,18.33073
2026-09-16 11:00:00,11.055613,2.4599507,18.243973,2.4599507,18.243973
2026-09-16 12:00:00,11.062985,2.4400394,18.331707,2.4400394,18.331707
2026-09-16 13:00:00,11.047486,2.4717307,18.341211,2.4717307,18.341211
2026-09-16 14:00:00,11.004138,2.4385612,18.308502,2.4385612,18.308502
2026-09-16 15:00:00,10.953813,2.376894,18.226435,2.376894,18.226435
2026-09-16 16:00:00,10.995028,2.4072852,18.218666,2.4072852,18.218666
2026-09-16 17:00:00,11.002177,2.3551772,18.2699,2.3551772,18.2699
2026-09-16 18:00:00,11.020545,2.4166489,18.282764,2.4166489,18.282764
2026-09-16 19:00:00,10.960932,2.3466384,18.312702,2.3466384,18.312702
2026-09-16 20:00:00,10.950356,2.3421001,18.343657,2.3421001,18.343657
2026-09-16 21:00:00,10.909367,2.3833256,18.286749,2.3833256,18.286749
2026-09-16 22:00:00,10.948506,2.3617063,18.399166,2.3617063,18.399166
2026-09-16 23:00:00,10.963796,2.3512142,18.472155,2.3512142,18.472155
2026-09-17 00:00:00,11.033927,2.3875759,18.596855,2.3875759,18.596855
2026-09-17 01:00:00,11.087168,2.4014137,18.68916,2.4014137,18.68916
2026-09-17 02:00:00,11.124962,2.4518852,18.761927,2.4518852,18.761927
2026-09-17 03:00:00,11.105623,2.398748,18.781187,2.398748,18.781187
2026-09-17 04:00:00,11.138212,2.422736,18.835072,2.422736,18.835072
2026-09-17 05:00:00,11.104208,2.4261343,18.789629,2.4261343,18.789629
2026-09-17 06:00:00,11.103939,2.4437275,18.82296,2.4437275,18.82296
2026-09-17 07:00:00,11.056305,2.430427,18.787668,2.430427,18.787668
2026-09-17 08:00:00,11.084971,2.4171138,18.823814,2.4171138,18.823814
2026-09-17 09:00:00,11.079933,2.3900106,18.824694,2.3900106,18.824694
2026-09-17 10:00:00,11.062363,2.3651395,18.786358,2.3651395,18.786358
2026-09-17 11:00:00,11.029418,2.3192525,18.755085,2.3192525,18.755085
2026-09-17 12:00:00,11.021892,2.3305655,18.748356,2.3305655,18.748356
2026-09-17 13:00:00,10.977791,2.289289,18.66696,2.289289,18.66696
2026-09-17 14:00:00,10.959432,2.251685,18.64515,2.251685,18.64515
2026-09-17 15:00:00,10.9472065,2.2040966,18.667461,2.2040966,18.667461
2026-09-17 16:00:00,10.964732,2.217916,18.67746,2.217916,18.67746
2026-09-17 17:00:00,10.973642,2.1939404,18.690495,2.1939404,18.690495
2026-09-17 18:00:00,10.997261,2.2196867,18.74862,2.2196867,18.74862
2026-09-17 19:00:00,10.9484215,2.2496383,18.684278,2.2496383,18.684278
2026-09-17 20:00:00,10.972738,2.2407875,18.79984,2.2407875,18.79984
2026-09-17 21:00:00,10.9769945,2.2641435,18.818937,2.2641435,18.818937
2026-09-17 22:00:00,10.954475,2.2691584,18.817158,2.2691584,18.817158
2026-09-17 23:00:00,10.952574,2.2403095,18.763168,2.2403095,18.763168
2026-09-18 00:00:00,10.98695,2.258502,18.770306,2.258502,18.770306
2026-09-18 01:00:00,10.971535,2.195922,18.75287,2.195922,18.75287
2026-09-18 02:00:00,11.001688,2.2434342,18.738407,2.2434342,18.738407
2026-09-18 03:00:00,10.949426,2.1815557,18.70442,2.1815557,18.70442
2026-09-18 04:00:00,10.932661,2.1662292,18.690834,2.1662292,18.690834
2026-09-18 05:00:00,10.881427,2.1947722,18.624252,2.1947722,18.624252
2026-09-18 06:00:00,10.898793,2.1843002,18.694645,2.1843002,18.694645
2026-09-18 07:00:00,10.910408,2.1418087,18.770193,2.1418087,18.770193
2026-09-18 08:00:00,10.915707,2.132047,18.850073,2.132047,18.850073
2026-09-18 09:00:00,10.886366,2.062599,18.863941,2.062599,18.863941
2026-09-18 10:00:00,10.889469,2.1087418,18.927696,2.1087418,18.927696
2026-09-18 11:00:00,10.841444,2.0451305,18.941866,2.0451305,18.941866
2026-09-18 12:00:00,10.863508,2.0600488,19.02572,2.0600488,19.02572
2026-09-18 13:00:00,10.842942,2.0762615,19.059013,2.0762615,19.059013
2026-09-18 14:00:00,10.857004,2.1167545,19.148602,2.1167545,19.148602
2026-09-18 15:00:00,10.81896,2.0869853,19.168312,2.0869853,19.168312
2026-09-18 16:00:00,10.855619,2.07551,19.236534,2.07551,19.236534
2026-09-18 17:00:00,10.89414,2.0371475,19.324923,2.0371475,19.324923
2026-09-18 18:00:00,10.901312,1.9840695,19.360113,1.9840695,19.360113
2026-09-18 19:00:00,10.876631,1.9363524,19.385498,1.9363524,19.385498
2026-09-18 20:00:00,10.910671,1.9673182,19.43842,1.9673182,19.43842
2026-09-18 21:00:00,10.877247,1.9215641,19.43488,1.9215641,19.43488
2026-09-18 22:00:00,10.848573,1.9009401,19.439518,1.9009401,19.439518
2026-09-18 23:00:00,10.803716,1.8514757,19.44783,1.8514757,19.44783
2026-09-19 00:00:00,10.823254,1.862829,19.480034,1.862829,19.480034
2026-09-19 01:00:00,10.80684,1.8241614,19.47921,1.8241614,19.47921
2026-09-19 02:00:00,10.8203,1.8306005,19.554394,1.8306005,19.554394
2026-09-19 03:00:00,10.788566,1.8687901,19.535896,1.8687901,19.535896
2026-09-19 04:00:00,10.820396,1.8899254,19.686092,1.8899254,19.686092
2026-09-19 05:00:00,10.827607,1.8891354,19.702343,1.8891354,19.702343
2026-09-19 06:00:00,10.84779,1.9136872,19.747448,1.9136872,19.747448
2026-09-19 07:00:00,10.838452,1.857402,19.711136,1.857402,19.711136
2026-09-19 08:00:00,10.879401,1.8768983,19.738214,1.8768983,19.738214
2026-09-19 09:00:00,10.881315,1.7748783,19.817095,1.7748783,19.817095
2026-09-19 10:00:00,10.946557,1.8620692,19.874317,1.8620692,19.874317
2026-09-19 11:00:00,10.907582,1.7581469,19.906273,1.7581469,19.906273
2026-09-19 12:00:00,10.902318,1.7125511,19.947422,1.7125511,19.947422
2026-09-19 13:00:00,10.857937,1.7362347,19.880474,1.7362347,19.880474
2026-09-19 14:00:00,10.868174,1.7081583,19.908653,1.7081583,19.908653
2026-09-19 15:00:00,10.887905,1.6865152,19.954878,1.6865152,19.954878
2026-09-19 16:00:00,10.894297,1.6559448,20.013105,1.6559448,20.013105
2026-09-19 17:00:00,10.872191,1.6026325,19.967337,1.6026325,19.967337
2026-09-19 18:00:00,10.890267,1.673763,19.987778,1.673763,19.987778
2026-09-19 19:00:00,10.788132,1.5772423,19.901255,1.5772423,19.901255
2026-09-19 20:00:00,10.787057,1.6220679,19.925144,1.6220679,19.925144
2026-09-19 21:00:00,10.720126,1.6367853,19.870699,1.6367853,19.870699
2026-09-19 22:00:00,10.731032,1.6840866,19.94149,1.6840866,19.94149
2026-09-19 23:00:00,10.669993,1.6357485,19.917347,1.6357485,19.917347
2026-09-20 00:00:00,10.678447,1.6168497,19.91721,1.6168497,19.91721
2026-09-20 01:00:00,10.692121,1.5736208,19.94922,1.5736208,19.94922
2026-09-20 02:00:00,10.65344,1.4946306,19.923729,1.4946306,19.923729
2026-09-20 03:00:00,10.599851,1.4689009,19.85083,1.4689009,19.85083
2026-09-20 04:00:00,10.637905,1.5254066,19.869894,1.5254066,19.869894
2026-09-20 05:00:00,10.6213,1.5197351,19.822552,1.5197351,19.822552
2026-09-20 06:00:00,10.611326,1.5213861,19.782234,1.5213861,19.782234
2026-09-20 07:00:00,10.590118,1.5193869,19.73468,1.5193869,19.73468
2026-09-20 08:00:00,10.6096325,1.531351,19.744715,1.531351,19.744715
2026-09-20 09:00:00,10.59382,1.5163872,19.701183,1.5163872,19.701183
2026-09-20 10:00:00,10.615138,1.5394857,19.736942,1.5394857,19.736942
2026-09-20 11:00:00,10.576874,1.5768712,19.679201,1.5768712,19.679201
2026-09-20 12:00:00,10.596025,1.5858294,19.756348,1.5858294,19.756348
2026-09-20 13:00:00,10.609877,1.6166835,19.7527,1.6166835,19.7527
2026-09-20 14:00:00,10.602535,1.5915211,19.749687,1.5915211,19.749687
2026-09-20 15:00:00,10.608755,1.5691607,19.641636,1.5691607,19.641636
2026-09-20 16:00:00,10.694084,1.6333337,19.639292,1.6333337,19.639292
2026-09-20 17:00:00,10.71804,1.6095864,19.61805,1.6095864,19.61805
2026-09-20 18:00:00,10.754651,1.6699728,19.580246,1.6699728,19.580246
2026-09-20 19:00:00,10.711866,1.626918,19.541187,1.626918,19.541187
2026-09-20 20:00:00,10.6876335,1.6054707,19.48322,1.6054707,19.48322
2026-09-20 21:00:00,10.647876,1.6210041,19.429754,1.6210041,19.429754
2026-09-20 22:00:00,10.673285,1.6083273,19.478386,1.6083273,19.478386
2026-09-20 23:00:00,10.720529,1.586491,19.585495,1.586491,19.585495
2026-09-21 00:00:00,10.761619,1.6280425,19.657593,1.6280425,19.657593
2026-09-21 01:00:00,10.76582,1.6385038,19.663826,1.6385038,19.663826
2026-09-21 02:00:00,10.743719,1.6884254,19.645279,1.6884254,19.645279
2026-09-21 03:00:00,10.677671,1.6383461,19.570087,1.6383461,19.570087
2026-09-21 04:00:00,10.725673,1.7174835,19.611265,1.7174835,19.611265
